Conectado ao TiDB.
Encontrados 293 estabelecimentos.
ID: 30000000, Slug: dona-deola-lapa, Name: Dona Deôla - Lapa, Items: 30
ID: 30000001, Slug: santa-etienne, Name: Santa Etienne, Items: 30
ID: 30000002, Slug: boteco-da-dona-tati, Name: Boteco da Dona Tati, Items: 14
ID: 30000003, Slug: boteco-sao-bento-itaim-bibi, Name: Boteco São Bento Itaim Bibi, Items: 30
ID: 30000004, Slug: z-deli-sandwich-shop, Name: Z Deli Sandwich Shop, Items: 24
ID: 30000005, Slug: osteria-generale-jardim-paulista, Name: Osteria Generale - Jardim Paulista, Items: 30
ID: 30000006, Slug: black-dog-paulista, Name: Black Dog Paulista, Items: 24
ID: 30000007, Slug: eu-tu-eles, Name: Eu, tu, eles, Items: 14
ID: 30000008, Slug: prainha-paulista, Name: Prainha Paulista, Items: 30
ID: 30000009, Slug: botanikafe-jardins, Name: Botanikafé Jardins, Items: 30
ID: 30000010, Slug: bar-valadares, Name: Bar Valadares, Items: 12
ID: 30000011, Slug: maravilhas-da-serra-emporio-e-chocolateria, Name: Maravilhas da Serra Empório e Chocolateria, Items: 24
ID: 30000012, Slug: acai-roots-perdizes, Name: Açaí Roots Perdizes, Items: 14
ID: 30000013, Slug: acai-do-jotinha, Name: Açaí do Jotinha, Items: 24
ID: 30000014, Slug: flowerbee-acai, Name: Flowerbee Açaí, Items: 24
ID: 30000016, Slug: oink-gastro-bar, Name: Oink Gastro Bar, Items: 34
ID: 30000017, Slug: mania-de-churrasco, Name: Mania de Churrasco, Items: 60
ID: 30000018, Slug: tasca-do-ze-e-da-maria, Name: Tasca do Zé e da Maria, Items: 36
ID: 30000019, Slug: violeta-bar-e-restaurante, Name: Violeta Bar e Restaurante, Items: 30
ID: 30000020, Slug: bar-das-batidas-c-do-padre, Name: Bar das Batidas C do Padre, Items: 30
ID: 30000021, Slug: kof-king-of-the-fork, Name: KOF - King of The Fork, Items: 42
ID: 30000022, Slug: bar-do-biu, Name: Bar do Biu, Items: 30
ID: 30000023, Slug: brutal-house-rock, Name: Brutal House Rock, Items: 24
ID: 30000024, Slug: rainha-da-vila-madalena-boteco-bistro, Name: Rainha da Vila Madalena - Boteco Bistrô, Items: 30
ID: 30000025, Slug: meow-maison, Name: Meow Maison, Items: 8
ID: 30000026, Slug: curtica-bar, Name: Curtiça Bar, Items: 24
ID: 30000027, Slug: boteco-sao-bento-vila-madalena, Name: Boteco São Bento Vila Madalena, Items: 20
ID: 30000028, Slug: othe-gastrobar, Name: Othê Gastrobar, Items: 22
ID: 30000029, Slug: fino-da-bossa, Name: Fino da Bossa, Items: 24
